time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
6.666666666666666574e-02,1.000000000000000000e+00,2.075467976342694865e+00,2.094461035748015121e+00,-5.697805217131257649e-01,3.879249823461146905e-03,2.075472405213115490e+00,2.094462388946453313e+00,-5.697673171006417681e-01,3.881429613797623881e-03,2.075467976346752952e+00,2.094461035744091593e+00,-5.697805215014911662e-01,3.879249522882033223e-03,4.428870420625230508e-06,4.058087199609872187e-12,1.093607441943691604e-14,2.423084772043578537e-06,1.166051382434878525e-12
7.000000000000000666e-02,1.000000000000000000e+00,2.073520554626770984e+00,2.094474925594226988e+00,-5.986818380505115611e-01,4.463088767380253563e-03,2.073528129960541921e+00,2.094475549337474263e+00,-5.986543320423618475e-01,4.469764374812995947e-03,2.073520554631385071e+00,2.094474925589677738e+00,-5.986818378263105700e-01,4.463088448591235810e-03,7.575333770937220379e-06,4.614086890342150582e-12,2.277845334877191809e-14,3.354488522299718693e-06,1.295652927350304978e-12
7.333333333333333370e-02,1.000000000000000000e+00,2.071476700792613368e+00,2.094490846510454141e+00,-6.276401172745906809e-01,5.098074511078697774e-03,2.071487006715086121e+00,2.094490740504257431e+00,-6.276007071739565513e-01,5.108948065663174859e-03,2.071476700797498793e+00,2.094490846505755233e+00,-6.276401170387976292e-01,5.098074175449097273e-03,1.030592247275308182e-05,4.885425397560538840e-12,1.335288644583181416e-14,4.090685539782215255e-06,1.434196676763392543e-12
7.666666666666667462e-02,1.000000000000000000e+00,2.069336221784262353e+00,2.094508970696571826e+00,-6.566572473178849956e-01,5.785198632116604796e-03,2.069348665768497408e+00,2.094508166370131708e+00,-6.566089865916457935e-01,5.799706089262140173e-03,2.069336221789370267e+00,2.094508970691817407e+00,-6.566572470704404862e-01,5.785198279488260736e-03,1.244398423505543860e-05,5.107914091695420211e-12,6.042030065987246284e-16,4.586669195802624513e-06,1.581803471275460936e-12
8.000000000000000167e-02,1.000000000000000000e+00,2.067098918453702971e+00,2.094529473305947409e+00,-6.857349943375593559e-01,6.525239651792317554e-03,2.067112755527487522e+00,2.094528032253719640e+00,-6.856814234787640405e-01,6.542566494734589760e-03,2.067098918459226553e+00,2.094529473300838607e+00,-6.857349940779056130e-01,6.525239281365822520e-03,1.383707378455056869e-05,5.523581592115078820e-12,1.268826313857321591e-15,4.808561160015794344e-06,1.738292049984530783e-12
8.333333333333334259e-02,1.000000000000000000e+00,2.064764585978706712e+00,2.094552531714491295e+00,-7.148749957997040383e-01,7.318750962694287737e-03,2.064778952291831615e+00,2.094550542998613540e+00,-7.148199490515830812e-01,7.337861838201741732e-03,2.064764585984649514e+00,2.094552531709035215e+00,-7.148749955276252344e-01,7.318750574107377692e-03,1.436631312490277423e-05,5.942801806213537930e-12,1.691768418476428920e-15,4.735606332832623772e-06,1.904447876799180046e-12
8.666666666666666963e-02,1.000000000000000000e+00,2.062333014302912826e+00,2.094578324750751008e+00,-7.440787534297671479e-01,8.166048519703286018e-03,2.062346970098193566e+00,2.094575901114803074e+00,-7.440261459412539358e-01,8.185731866589694011e-03,2.062333014309257084e+00,2.094578324744990283e+00,-7.440787531456628523e-01,8.166048113557644594e-03,1.395579528074009090e-05,6.344258451917994535e-12,5.316986458068776493e-15,4.362096010780965068e-06,2.080331372020068786e-12
9.000000000000001055e-02,1.000000000000000000e+00,2.059803988600340308e+00,2.094607031883436665e+00,-7.733476260354265053e-01,9.067198305061670641e-03,2.059816570532190028e+00,2.094604304942119022e+00,-7.733012260326593834e-01,9.086127024475030775e-03,2.059803988607100678e+00,2.094607031877362413e+00,-7.733476257391332931e-01,9.067197881072373844e-03,1.258193184972000722e-05,6.760370041547503206e-12,1.063397291613755299e-14,3.699224569838780051e-06,2.266365477751815811e-12
9.333333333333333759e-02,1.000000000000000000e+00,2.057177289763965966e+00,2.094638832366901848e+00,-8.026828222067965424e-01,1.002200357442806743e-02,2.057187572406936393e+00,2.094635946845614161e+00,-8.026460127458808769e-01,1.003881278295354861e-02,2.057177289771194406e+00,2.094638832360440350e+00,-8.026828218973743878e-01,1.002200313111608135e-02,1.028264297042724706e-05,7.228440068729469203e-12,1.105691502075666032e-14,2.776880252695627484e-06,2.462671034595741647e-12
9.666666666666667851e-02,1.000000000000000000e+00,2.054452694918827760e+00,2.094673904343749893e+00,-8.320853929063548593e-01,1.102999190343945460e-02,2.054459861203485005e+00,2.094671011452722276e+00,-8.320609277122537062e-01,1.104337478679924024e-02,2.054452694926559797e+00,2.094673904336854076e+00,-8.320853925831396269e-01,1.102999143978636298e-02,7.166284657245114431e-06,7.732037232699440210e-12,6.223290967966863288e-15,1.645366286513445799e-06,2.669610564355804638e-12
1.000000000000000056e-01,1.000000000000000000e+00,2.051629977959936735e+00,2.094712423904060650e+00,-8.615562239629794838e-01,1.209040205739606022e-02,2.051633398167426847e+00,2.094709673942159345e+00,-8.615459817643046359e-01,1.209922481174505356e-02,2.051629977968133733e+00,2.094712423896808673e+00,-8.615562236262811480e-01,1.209040157386917676e-02,3.420207490112403548e-06,8.196998635412455769e-12,1.389666915177066655e-15,3.770447123075593438e-07,2.887365327933985169e-12
