time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
6.666666666666666574e-02,1.000000000000000000e+00,1.025582543002028890e+00,1.100299345059975453e-02,-6.503139501615199380e-01,3.368835145082399452e-01,1.025578212916743892e+00,1.100779475250909280e-02,-6.503046830319327842e-01,3.368766178843778936e-01,1.025582543007999003e+00,1.100299344555799239e-02,-6.503139501642745124e-01,3.368835144378002910e-01,4.801301909338265284e-06,5.970113292619316780e-12,5.558667660708266053e-13,2.860749606062628071e-06,3.019081583372507081e-12
7.000000000000000666e-02,1.000000000000000000e+00,1.023359966631374407e+00,1.215639912466501792e-02,-6.832421884125948752e-01,3.551950449402361265e-01,1.023355055085101828e+00,1.216297330479231692e-02,-6.832309760949114574e-01,3.551877338345957313e-01,1.023359966637847451e+00,1.215639911924391685e-02,-6.832421884152870550e-01,3.551950448648196756e-01,6.574180127299003584e-06,6.473044322774512693e-12,5.329070518200751394e-13,3.296911073700935832e-06,3.340275901680389178e-12
7.333333333333333370e-02,1.000000000000000000e+00,1.021027524208027115e+00,1.337120068536296578e-02,-7.162342144265209098e-01,3.737228186591070589e-01,1.021022301247420883e+00,1.337918202391245349e-02,-7.162217983835577062e-01,3.737155241948031392e-01,1.021027524215060600e+00,1.337120067949554465e-02,-7.162342144293076807e-01,3.737228185787510037e-01,7.981338549487709821e-06,7.033484905605291715e-12,5.336320954279935451e-13,3.553501844221562076e-06,3.677904541767756484e-12
7.666666666666667462e-02,1.000000000000000000e+00,1.018584996718602032e+00,1.464813669245756261e-02,-7.492938792091876632e-01,3.924774931841644721e-01,1.018579756082626853e+00,1.465706916304666124e-02,-7.492810506089629952e-01,3.924706310793025232e-01,1.018584996726159542e+00,1.464813668620027105e-02,-7.492938792115425573e-01,3.924774930979839094e-01,8.932470589098628899e-06,7.557510173228365602e-12,4.756286067945160407e-13,3.610059594571603804e-06,4.031846663033289685e-12
8.000000000000000167e-02,1.000000000000000000e+00,1.016032152125746268e+00,1.598798131362823977e-02,-7.824251468858870462e-01,4.114697759884510808e-01,1.016027195122850779e+00,1.599733979749893079e-02,-7.824127055812195586e-01,4.114637258314241541e-01,1.016032152133808708e+00,1.598798130701683043e-02,-7.824251468876803894e-01,4.114697758961103347e-01,9.358483870691020057e-06,8.062439604827886797e-12,3.845147933994283305e-13,3.456880097729708299e-06,4.401377221869068861e-12
8.333333333333334259e-02,1.000000000000000000e+00,1.013368744982890535e+00,1.739154449429593588e-02,-8.156320995567483134e-01,4.307104264096225377e-01,1.013364363294731341e+00,1.740076026833382514e-02,-8.156208134117635122e-01,4.307055133742282438e-01,1.013368744991629766e+00,1.739154448711302189e-02,-8.156320995584893652e-01,4.307104263115641984e-01,9.215774037889257198e-06,8.739231560639382224e-12,4.010699557802334082e-13,3.096030861342444108e-06,4.786254537072457000e-12
8.666666666666666963e-02,1.000000000000000000e+00,1.010594516033311852e+00,1.885967213314557536e-02,-8.489189420441469736e-01,4.502102574103751254e-01,1.010590973969593520e+00,1.886816233556988173e-02,-8.489095074152172016e-01,4.502067367292563183e-01,1.010594516043007651e+00,1.885967212502620560e-02,-8.489189420459700708e-01,4.502102573064175606e-01,8.490202424306370066e-06,9.695799718656417099e-12,5.741136968701080807e-13,2.542026034566727900e-06,5.185391043231574222e-12
9.000000000000001055e-02,1.000000000000000000e+00,1.007709191793593195e+00,2.039324626319886577e-02,-8.822900065060924613e-01,4.699801371510283765e-01,1.007706708531301620e+00,2.040044702618894895e-02,-8.822830105358819841e-01,4.699781815514278982e-01,1.007709191804289306e+00,2.039324625408852829e-02,-8.822900065075407472e-01,4.699801370402849066e-01,7.200762990083181547e-06,1.069611066384368314e-11,7.380943928610020257e-13,1.822156047333559046e-06,5.597940856137183313e-12
9.333333333333333759e-02,1.000000000000000000e+00,1.004712484121567551e+00,2.199318523829082994e-02,-9.157497568895973661e-01,4.900309903368686992e-01,1.004711216463134438e+00,2.199858816397921510e-02,-9.157456421364997823e-01,4.900306805416894118e-01,1.004712484132858741e+00,2.199318522873646917e-02,-9.157497568911069363e-01,4.900309902200311041e-01,5.402925688385157299e-06,1.129119020504276705e-11,6.770698891945307772e-13,9.764712005568801371e-07,6.022453888573447663e-12
9.666666666666667851e-02,1.000000000000000000e+00,1.001604089768889150e+00,2.366044392472958779e-02,-9.493027931978474943e-01,5.103737993025593278e-01,1.001604115948129481e+00,2.366363556979850236e-02,-9.493018249992499769e-01,5.103751176118265231e-01,1.001604089780669726e+00,2.366044391488392185e-02,-9.493027931998070379e-01,5.103737991800640916e-01,3.191645068914561456e-06,1.178057651429753605e-11,5.667424201896037004e-13,5.742352866831560652e-08,6.457721734527168481e-12
1.000000000000000056e-01,1.000000000000000000e+00,9.983836899213888172e-01,2.539601389386679509e-02,-9.829538555291599256e-01,5.310196047712232303e-01,9.983849949710627003e-01,2.539671792227357269e-02,-9.829560924008353684e-01,5.310224316878795481e-01,9.983836899339297855e-01,2.539601388337606874e-02,-9.829538555306190917e-01,5.310196046413235837e-01,1.305049673883118544e-06,1.254096826386330576e-11,5.561084472734661412e-13,8.708243195628540374e-07,6.901810944377231097e-12
